seller_id,seller_state,n_orders,avg_order_value,avg_delivery_time,late_delivery_rate,avg_customer_distance,avg_review_score,low_review_rate,n_customer_states,n_items,revenue,avg_item_value,avg_freight_per_item,n_products,n_categories
3442f8959a84dea7ee197c632cb2df15,SP,3,72.9,13.018587962962963,0.3333333333333333,217.6087278368583,3.0,0.3333333333333333,2,3,218.70000000000002,72.9,9.299999999999999,3,1
d1b65fc7debc3361ea86b5f14c68d2e2,SP,39,292.6453846153846,9.19198806980057,0.02564102564102564,501.6627446617475,4.641025641025641,0.02564102564102564,11,40,11413.17,285.32925,35.253750000000004,30,3
ce3ad9de960102d0677a81f5d0bb7b2d,RJ,1,158.0,4.042291666666666,0.0,338.4540347999494,5.0,0.0,1,1,158.0,158.0,16.21,1,1
c0f3eea2e14555b6faeea3dd58c1b1c3,SP,1,79.99,5.6671875,0.0,359.3881055606589,5.0,0.0,1,1,79.99,79.99,15.66,1,1
51a04a8a6bdcb23deccc82b0b80742cf,SP,1,167.99,35.314861111111114,1.0,67.81801524091941,1.0,1.0,1,1,167.99,167.99,31.93,1,1
c240c4061717ac1806ae6ee72be3533b,RJ,1,59.9,6.056956018518519,0.0,365.394973211365,4.0,0.0,1,1,59.9,59.9,13.99,1,1
e49c26c3edfa46d227d5121a6b6e4d37,PE,34,106.5985294117647,11.620668913398692,0.0,1455.2808695906895,4.5588235294117645,0.058823529411764705,12,35,3624.35,103.55285714285714,32.60885714285714,30,6
1b938a7ec6ac5061a66a3766e0e75f90,SP,29,133.09655172413792,11.460889607279695,0.0,592.260352209077,4.413793103448276,0.06896551724137931,8,31,3859.8,124.50967741935484,27.730645161290322,8,6
768a86e36ad6aae3d03ee3c6433d61df,SP,17,34.5564705882353,5.081859340958606,0.11764705882352941,183.2221337333003,4.647058823529412,0.0,5,17,587.46,34.5564705882353,10.602352941176472,8,2
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,184,396.3408695652174,15.867033640297906,0.06521739130434782,1254.341696742387,4.3224043715847,0.1092896174863388,24,189,72926.72,385.8556613756614,27.3789417989418,12,2
8cb7c5ddf41f4d506eba76e9a4702a25,GO,1,69.0,16.01363425925926,0.0,843.0511636157653,5.0,0.0,1,1,69.0,69.0,28.88,1,1
a7a9b880c49781da66651ccf4ba9ac38,SP,3,102.53333333333335,9.482303240740741,0.0,256.62454095740276,3.6666666666666665,0.0,2,4,307.6,76.9,16.3675,4,1
8bd0f31cf0a614c658f6763bd02dea69,SP,33,135.01030303030302,10.002721310325478,0.030303030303030304,444.59564503907177,4.28125,0.09375,9,35,4455.34,127.29542857142857,27.65657142857143,10,3
